candidate,min_gap_pct,sell_gap_pct,switch_hurdle_pct,max_hold_days,stop_gap_ratio_floor,total_return,excess_return,max_drawdown,win_rate,total_trades,n_days,score
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.0, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.0,0.005,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.0,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.0,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.0,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.0,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.0,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.0,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.005,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.005,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.005,0.005,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.005,0.005,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.005,0.005,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.005, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.005,0.005,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.0,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.0,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.0,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.0,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.0,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.0,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.0,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.0,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.0,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.0,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.005,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.005,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.01,0.005,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.005,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.005,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.01,0.005,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.005,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.005,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.01,0.005,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.01, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.01,0.005,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.0,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.0,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.0,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.0,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.0,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.0,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.0,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.0,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.0,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.0, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.0,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.005,0.0,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.005,0.0,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.0}",0.03,0.005,0.0,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.01}",0.03,0.005,0.01,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.005,0.02,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.005,0.02,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.02}",0.03,0.005,0.02,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 90.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.005,0.03,90.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 180.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.005,0.03,180.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
"{""max_hold_days"": 360.0, ""min_gap_pct"": 0.03, ""sell_gap_pct"": 0.005, ""stop_gap_ratio_floor"": 0.0, ""switch_hurdle_pct"": 0.03}",0.03,0.005,0.03,360.0,0.0,0.0,-0.272314,0.0,0.0,0,1456,-0.272314
